,country,area,國家
0,Algeria,Africa,阿爾及利亞
1,Argentina,South America,阿根廷
2,Australia,Oceania,澳洲
3,Austria,Europe,奧地利
4,Bangladesh,Asia,孟加拉
5,Belarus,Europe,白俄羅斯
6,Belgium,Europe,比利時
7,Brazil,South America,巴西
8,Cameroon,Africa,喀麥隆
9,Canada,North America,加拿大
10,Chile,South America,智利
11,China,Asia,中國
12,Colombia,South America,哥倫比亞
13,Czech Republic,Europe,捷克共和國
14,Denmark,Europe,丹麥
15,Ecuador,South America,厄瓜多
16,Egypt,Africa,埃及
17,Ethiopia,Africa,衣索比亞
18,France,Europe,法國
19,Germany,Europe,德國
20,Ghana,Africa,迦納
21,Greece,Europe,希臘
22,Hong Kong,Asia,香港特別行政區
23,I do not wish to disclose my location,—,我不希望透露我的位置
24,India,Asia,印度
25,Indonesia,Asia,印尼
26,Iran,Asia,伊朗
27,Iraq,Asia,伊拉克
28,Ireland,Europe,愛爾蘭
29,Israel,Asia,以色列
30,Italy,Europe,義大利
31,Japan,Asia,日本
32,Kazakhstan,Asia,哈薩克
33,Kenya,Africa,肯亞
34,Malaysia,Asia,馬來西亞
35,Mexico,North America,墨西哥
36,Morocco,Africa,摩洛哥
37,Nepal,Asia,尼泊爾
38,Netherlands,Europe,荷蘭
39,Nigeria,Africa,奈及利亞
40,Norway,Europe,挪威
41,Other,—,其他
42,Pakistan,Asia,巴基斯坦
43,Peru,South America,秘魯
44,Philippines,Asia,菲律賓
45,Poland,Europe,波蘭
46,Portugal,Europe,葡萄牙
47,South Korea,Asia,韓國（大韓民國）
48,Romania,Europe,羅馬尼亞
49,Russia,Europe,俄羅斯
50,Saudi Arabia,Asia,沙烏地阿拉伯
51,Singapore,Asia,新加坡
52,South Africa,Africa,南非
53,Spain,Europe,西班牙
54,Sri Lanka,Asia,斯里蘭卡
55,Sweden,Europe,瑞典
56,Switzerland,Europe,瑞士
57,Taiwan,Asia,台灣
58,Thailand,Asia,泰國
59,Tunisia,Africa,突尼西亞
60,Turkey,Asia,火雞
61,Uganda,Africa,烏幹達
62,Ukraine,Europe,烏克蘭
63,United Arab Emirates,Asia,阿拉伯聯合大公國
64,UK,Europe,英國
65,USA,North America,美國
66,Vietnam,Asia,越南
67,Zimbabwe,Africa,辛巴威
